scenario,month,opening_paid,new_paid,reactivated,churned,ending_paid,studio,assist,business,MRR,ARR_run_rate,paid_cash_contribution,paid_economic_contribution,service_revenue,service_economic_cost,trial_cash,trial_support_hours,acquisition_cash,acquisition_hours,fixed_cash,cash_operating_result,full_economic_result,receipts_after_fees,cash_out,ending_cash,founder_hours,capacity_exceeded,first_negative_cash_month,first_capacity_exceeded
conservative,12,14.064149273310674,2.159325,0.0,1.4064149273310675,14.817059345979606,0.0,14.817059345979606,0.0,577.8653144932047,6934.383773918456,465.9372481936747,354.8093030988276,0.0,0.0,14.880000000000003,4.65,120,32,150,181.0572481936747,-2589.5706969011726,497.11142021443885,342.6665314493205,9333.515721113932,92.3542648364949,False,,
conservative,24,19.466809571642372,2.159325,0.0,1.9466809571642372,19.679453614478135,0.0,19.679453614478135,0.0,767.4986909646473,9209.984291575767,618.8400983608794,471.24419625229336,0.0,0.0,14.880000000000003,4.65,120,32,150,333.96009836087944,-2473.1358037477066,688.0738511192714,361.62986909646474,12515.219955794739,93.56986340361954,False,,
conservative,36,20.992680415464495,2.159325,0.0,2.0992680415464493,21.052737373918045,0.0,21.052737373918045,0.0,821.0567575828038,9852.681090993647,662.0243794602268,504.12884915584146,0.0,0.0,14.880000000000003,4.65,120,32,150,377.1443794602268,-2440.2511508441585,742.0072819650079,366.98567575828037,16807.71741213945,93.91318434347951,False,,
base,12,59.21047057718202,8.612921375527007,0.0,3.552628234630921,64.27076371807811,0.0,64.27076371807811,0.0,2506.5597850050463,30078.717420060555,2096.2552294288357,1614.22450154325,0.0,0.0,32.075246996689565,6.682343124310325,120,32,150,1794.179982432146,-1408.3210391827497,2162.1295435963784,552.7312254971941,17291.422289578466,106.75003405382985,False,,22
base,24,115.2764874642259,11.358294924933132,0.0,6.916589247853554,119.71819314130548,0.0,119.71819314130548,0.0,4669.009532510913,56028.114390130955,3904.7285874968193,3006.8421389370283,0.0,0.0,42.59794952497651,8.874572817703438,120,32,150,3592.1306379718426,-91.99299511905156,4209.436216243672,779.4989027760678,48702.22360134345,122.80412110302981,True,,22
base,36,169.9136975356539,15.0253103359712,0.0,10.194821852139237,174.74418601948588,0.0,174.74418601948588,0.0,6815.023254759949,81780.27905711939,5699.456371211551,4388.874976065407,0.0,0.0,56.76022244106875,11.825046341889323,120,32,150,5372.696148770483,1187.363363367659,6204.568579211939,1008.2625479170637,101210.4812368168,139.5110928467608,True,,22
optimistic,12,87.33823208427357,12.683843216394063,0.0,3.4935292833709437,96.52854601729669,0.0,96.52854601729669,0.0,3764.613294674571,45175.35953609485,3148.375056900149,2424.4109617704235,0.0,0.0,47.72307574576743,9.942307447034882,120,32,150,2830.6519811543817,-711.58133738639,3189.242882789333,694.1844052132245,21436.943253479494,118.07444395135906,False,,13
optimistic,24,192.73721956824025,15.687728895678337,0.0,7.709488782729612,200.71545968118897,0.0,200.71545968118897,0.0,7827.90292756637,93934.83513079643,6546.535432961659,5041.169485352742,0.0,0.0,59.11187097481661,12.31497311975346,120,32,150,6217.423561986843,1822.6084207853219,7037.9923097538585,1111.9021637314536,74276.20871152479,146.49383804005072,True,,13
optimistic,36,283.8296743894033,17.82,0.0,11.353186975576135,290.2964874138272,0.0,290.2964874138272,0.0,11321.563009139261,135858.75610967114,9468.310233489388,7291.086577885684,0.0,0.0,67.2,14.0,120,32,150,9131.110233489388,4013.8865778856834,10364.324390003454,1469.3563009139261,165082.14519923297,170.5741218534568,True,,13
