month,opening_paid,new_paid,reactivated,churned,ending_paid,studio,assist,business,MRR,ARR_run_rate,paid_cash_contribution,paid_economic_contribution,service_revenue,service_economic_cost,trial_cash,trial_support_hours,acquisition_cash,acquisition_hours,fixed_cash,cash_operating_result,full_economic_result,receipts_after_fees,cash_out,ending_cash,founder_hours,capacity_exceeded
1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,6.458333333333333,120,32,150,-301.0,-3014.75,0,301.0,9699.0,90.45833333333334,False
2,0,8.56875,0,0,8.56875,0.0,8.56875,0.0,334.18125,4010.1749999999997,279.47835,215.21272499999998,0.0,0.0,32.24,6.716666666666667,120,32,150,-22.76165000000003,-2808.527275,0.0,335.658125,9363.341875,92.85885416666667,False
3,8.56875,8.9115,0,0.34274999999999994,17.1375,0.0,17.1375,0.0,668.3625,8020.349999999999,558.9567,430.42544999999996,0.0,0.0,33.52960000000001,6.985333333333334,120,32,150,255.4271,-2602.66415,312.89647499999995,370.36585,9305.8725,95.26970833333334,False
4,17.1375,9.26796,0.0,0.6855,25.71996,0.0,25.71996,0.0,1003.07844,12036.94128,838.88221536,645.98251536,0.0,0.0,34.87078400000001,7.264746666666667,120,32,150,534.0114313600001,-2396.83066864,625.7929499999999,405.178628,9526.486821999999,97.69473666666667,False
5,25.71996,9.638678399999998,0.0,1.0287984000000001,34.32984,0.0,34.32984,0.0,1338.86376,16066.365119999999,1119.7020614399999,862.2282614399999,0.0,0.0,36.26561536000001,7.555336533333335,120,32,150,813.4364460799998,-2190.6974499200005,939.1900593599999,440.15199136,10025.524889999999,100.13779653333333,False
6,34.32984,10.024225536000001,0.0,1.3731936,42.980871936,0.0,42.980871936,0.0,1676.254005504,20115.048066048,1401.864119064576,1079.507579544576,0.0,0.0,37.71623997440001,7.857549994666669,120,32,150,1094.147879090176,-1983.9351602698239,1253.58843744,475.3416405248,10803.7716869152,102.60276797866666,False
7,42.980871936,10.425194557440003,0.0,1.7192348774400001,51.686831616,0.0,51.686831616,0.0,2015.786433024,24189.437196288,1685.8176999874559,1298.166462867456,0.0,0.0,39.22488957337601,8.171851994453336,120,32,150,1376.5928104140798,-1776.2139865395202,1569.4895196149757,510.803532875776,11862.457673654399,105.09355989845334,False
8,51.686831616,10.842202339737604,0.0,2.0674732646400003,60.46156069109761,0.0,60.46156069109761,0.0,2358.000866952807,28296.010403433684,1972.0142635008397,1518.5525583176075,0.0,0.0,40.79388515631105,8.498726074231467,120,32,150,1661.2203783445286,-1567.2031090656474,1887.396343289856,546.5939718515917,13203.260045092662,107.61411624700587,False
9,60.46156069109761,11.275890433327106,0.0,2.418462427643904,69.3189886967808,0.0,69.3189886967808,0.0,2703.4405591744517,32441.28671009342,2260.9081353342026,1741.0157201083466,0.0,0.0,42.42564056256349,8.838675117200726,120,32,150,1948.4824947716393,-1356.5701739702386,2207.8143501961194,582.7696964800086,14828.304698808774,110.16842229139593,False
10,69.3189886967808,11.72692605066019,0.0,2.7727595478712326,78.27315519956977,0.0,78.27315519956977,0.0,3052.653052783221,36631.83663339865,2552.9572299891674,1965.9085659923944,0.0,0.0,44.12266618506604,9.192222121888756,120,32,150,2238.8345638041014,-1143.9807638493344,2531.252191251648,619.3879714633881,16740.16891859703,112.76051092178119,False
11,78.27315519956977,12.196003092686597,0.0,3.1309262079827906,87.33823208427357,0.0,87.33823208427357,0.0,3406.1910512866693,40874.292615440034,2848.6237776606667,2193.5870370286148,0.0,0.0,45.88757283246868,9.559911006764308,120,32,150,2532.736204828198,-929.0978660067831,2858.22253526749,656.5066779611357,18941.884775903385,115.3944690278327,False
12,87.33823208427357,12.683843216394063,0.0,3.4935292833709437,96.52854601729669,0.0,96.52854601729669,0.0,3764.613294674571,45175.35953609485,3148.375056900149,2424.4109617704235,0.0,0.0,47.72307574576743,9.942307447034882,120,32,150,2830.6519811543817,-711.58133738639,3189.242882789333,694.1844052132245,21436.943253479494,118.07444395135906,False
