plan,price,net_monthly_revenue,direct_cost,support_hours,fee,cash_contribution,economic_contribution
studio,19,18.62,2.0,0.3333333333333333,0.984,15.636000000000003,5.636000000000003
assist,39,38.22,3.9,0.25,1.704,32.616,25.116
business,79,77.42,8.0,1.0,3.1439999999999997,66.276,36.275999999999996
