month,join_month,origin_month,channel,plan,active,lapsed
6,6,5,case_content,studio,0.0,0
6,6,5,case_content,assist,0.5483712000000001,0
6,6,5,case_content,business,0.0,0
7,2,1,founder,studio,0.0,0.0
7,2,1,founder,assist,4.892236185599999,1.1077638144
7,2,1,founder,business,0.0,0.0
7,2,1,partners,studio,0.0,0.0
7,2,1,partners,assist,1.7122826649599996,0.38771733503999994
7,2,1,partners,business,0.0,0.0
7,2,1,case_content,studio,0.0,0.0
7,2,1,case_content,assist,0.38220595199999996,0.08654404800000001
7,2,1,case_content,business,0.0,0.0
7,3,2,founder,studio,0.0,0.0
7,3,2,founder,assist,5.2999225344,0.9400774656
7,3,2,founder,business,0.0,0.0
7,3,2,partners,studio,0.0,0.0
7,3,2,partners,assist,1.8549728870399997,0.32902711296
7,3,2,partners,business,0.0,0.0
7,3,2,case_content,studio,0.0,0.0
7,3,2,case_content,assist,0.41405644799999997,0.073443552
7,3,2,case_content,business,0.0,0.0
7,4,3,founder,studio,0.0,0.0
7,4,3,founder,assist,5.741582745600001,0.7480172544
7,4,3,founder,business,0.0,0.0
7,4,3,partners,studio,0.0,0.0
7,4,3,partners,assist,2.00955396096,0.26180603904
7,4,3,partners,business,0.0,0.0
7,4,3,case_content,studio,0.0,0.0
7,4,3,case_content,assist,0.44856115199999996,0.058438848
7,4,3,case_content,business,0.0,0.0
7,5,4,founder,studio,0.0,0.0
7,5,4,founder,assist,6.2200479744,0.5291360256
7,5,4,founder,business,0.0,0.0
7,5,4,partners,studio,0.0,0.0
7,5,4,partners,assist,2.1770167910400002,0.18519760896
7,5,4,partners,business,0.0,0.0
7,5,4,case_content,studio,0.0,0.0
7,5,4,case_content,assist,0.485941248,0.041338752
7,5,4,case_content,business,0.0,0.0
7,6,5,founder,studio,0.0,0.0
7,6,5,founder,assist,6.738385305600001,0.2807660544000001
7,6,5,founder,business,0.0,0.0
7,6,5,partners,studio,0.0,0.0
7,6,5,partners,assist,2.35843485696,0.09826811904000002
7,6,5,partners,business,0.0,0.0
7,6,5,case_content,studio,0.0,0.0
7,6,5,case_content,assist,0.526436352,0.021934848000000003
7,6,5,case_content,business,0.0,0.0
7,7,6,founder,studio,0.0,0
7,7,6,founder,assist,7.299917414400001,0
7,7,6,founder,business,0.0,0
7,7,6,partners,studio,0.0,0
7,7,6,partners,assist,2.5549710950400004,0
7,7,6,partners,business,0.0,0
7,7,6,case_content,studio,0.0,0
7,7,6,case_content,assist,0.5703060480000001,0
7,7,6,case_content,business,0.0,0
8,2,1,founder,studio,0.0,0.0
8,2,1,founder,assist,4.696546738175999,1.303453261824
8,2,1,founder,business,0.0,0.0
8,2,1,partners,studio,0.0,0.0
8,2,1,partners,assist,1.6437913583615995,0.4562086416383999
8,2,1,partners,business,0.0,0.0
8,2,1,case_content,studio,0.0,0.0
8,2,1,case_content,assist,0.36691771391999994,0.10183228608000001
8,2,1,case_content,business,0.0,0.0
8,3,2,founder,studio,0.0,0.0
8,3,2,founder,assist,5.087925633024001,1.152074366976
8,3,2,founder,business,0.0,0.0
8,3,2,partners,studio,0.0,0.0
8,3,2,partners,assist,1.7807739715583997,0.40322602844159994
8,3,2,partners,business,0.0,0.0
8,3,2,case_content,studio,0.0,0.0
8,3,2,case_content,assist,0.39749419008,0.09000580992
8,3,2,case_content,business,0.0,0.0
8,4,3,founder,studio,0.0,0.0
8,4,3,founder,assist,5.511919435776001,0.9776805642240001
8,4,3,founder,business,0.0,0.0
8,4,3,partners,studio,0.0,0.0
8,4,3,partners,assist,1.9291718025216,0.3421881974784
8,4,3,partners,business,0.0,0.0
8,4,3,case_content,studio,0.0,0.0
8,4,3,case_content,assist,0.43061870591999996,0.07638129408
8,4,3,case_content,business,0.0,0.0
8,5,4,founder,studio,0.0,0.0
8,5,4,founder,assist,5.971246055424,0.777937944576
8,5,4,founder,business,0.0,0.0
8,5,4,partners,studio,0.0,0.0
8,5,4,partners,assist,2.0899361193984003,0.27227828060160003
8,5,4,partners,business,0.0,0.0
8,5,4,case_content,studio,0.0,0.0
8,5,4,case_content,assist,0.46650359807999997,0.06077640192
8,5,4,case_content,business,0.0,0.0
8,6,5,founder,studio,0.0,0.0
8,6,5,founder,assist,6.468849893376001,0.5503014666240001
8,6,5,founder,business,0.0,0.0
8,6,5,partners,studio,0.0,0.0
8,6,5,partners,assist,2.2640974626816,0.19260551331840003
8,6,5,partners,business,0.0,0.0
8,6,5,case_content,studio,0.0,0.0
8,6,5,case_content,assist,0.50537889792,0.04299230208
8,6,5,case_content,business,0.0,0.0
8,7,6,founder,studio,0.0,0.0
8,7,6,founder,assist,7.0079207178240015,0.2919966965760001
8,7,6,founder,business,0.0,0.0
8,7,6,partners,studio,0.0,0.0
8,7,6,partners,assist,2.4527722512384003,0.10219884380160002
8,7,6,partners,business,0.0,0.0
8,7,6,case_content,studio,0.0,0.0
8,7,6,case_content,assist,0.5474938060800001,0.022812241920000004
8,7,6,case_content,business,0.0,0.0
8,8,7,founder,studio,0.0,0
8,8,7,founder,assist,7.591914110976003,0
8,8,7,founder,business,0.0,0
8,8,7,partners,studio,0.0,0
8,8,7,partners,assist,2.6571699388416006,0
8,8,7,partners,business,0.0,0
8,8,7,case_content,studio,0.0,0
8,8,7,case_content,assist,0.5931182899200002,0
8,8,7,case_content,business,0.0,0
9,2,1,founder,studio,0.0,0.0
9,2,1,founder,assist,4.50868486864896,1.49131513135104
9,2,1,founder,business,0.0,0.0
9,2,1,partners,studio,0.0,0.0
9,2,1,partners,assist,1.5780397040271354,0.5219602959728639
9,2,1,partners,business,0.0,0.0
9,2,1,case_content,studio,0.0,0.0
9,2,1,case_content,assist,0.35224100536319997,0.1165089946368
9,2,1,case_content,business,0.0,0.0
9,3,2,founder,studio,0.0,0.0
9,3,2,founder,assist,4.88440860770304,1.35559139229696
9,3,2,founder,business,0.0,0.0
9,3,2,partners,studio,0.0,0.0
9,3,2,partners,assist,1.7095430126960638,0.47445698730393593
9,3,2,partners,business,0.0,0.0
9,3,2,case_content,studio,0.0,0.0
9,3,2,case_content,assist,0.3815944224768,0.1059055775232
9,3,2,case_content,business,0.0,0.0
9,4,3,founder,studio,0.0,0.0
9,4,3,founder,assist,5.291442658344961,1.1981573416550402
9,4,3,founder,business,0.0,0.0
9,4,3,partners,studio,0.0,0.0
9,4,3,partners,assist,1.852004930420736,0.41935506957926405
9,4,3,partners,business,0.0,0.0
9,4,3,case_content,studio,0.0,0.0
9,4,3,case_content,assist,0.4133939576832,0.09360604231679999
9,4,3,case_content,business,0.0,0.0
9,5,4,founder,studio,0.0,0.0
9,5,4,founder,assist,5.73239621320704,1.01678778679296
9,5,4,founder,business,0.0,0.0
9,5,4,partners,studio,0.0,0.0
9,5,4,partners,assist,2.006338674622464,0.35587572537753603
9,5,4,partners,business,0.0,0.0
9,5,4,case_content,studio,0.0,0.0
9,5,4,case_content,assist,0.4478434541568,0.07943654584320001
9,5,4,case_content,business,0.0,0.0
9,6,5,founder,studio,0.0,0.0
9,6,5,founder,assist,6.2100958976409615,0.8090554623590402
9,6,5,founder,business,0.0,0.0
9,6,5,partners,studio,0.0,0.0
9,6,5,partners,assist,2.173533564174336,0.283169411825664
9,6,5,partners,business,0.0,0.0
9,6,5,case_content,studio,0.0,0.0
9,6,5,case_content,assist,0.4851637420032,0.0632074579968
9,6,5,case_content,business,0.0,0.0
9,7,6,founder,studio,0.0,0.0
9,7,6,founder,assist,6.727603889111041,0.5723135252889602
9,7,6,founder,business,0.0,0.0
9,7,6,partners,studio,0.0,0.0
9,7,6,partners,assist,2.3546613611888643,0.20030973385113604
9,7,6,partners,business,0.0,0.0
9,7,6,case_content,studio,0.0,0.0
9,7,6,case_content,assist,0.5255940538368001,0.04471199416320001
9,7,6,case_content,business,0.0,0.0
9,8,7,founder,studio,0.0,0.0
9,8,7,founder,assist,7.288237546536963,0.3036765644390401
9,8,7,founder,business,0.0,0.0
9,8,7,partners,studio,0.0,0.0
9,8,7,partners,assist,2.5508831412879367,0.10628679755366402
9,8,7,partners,business,0.0,0.0
9,8,7,case_content,studio,0.0,0.0
9,8,7,case_content,assist,0.5693935583232002,0.023724731596800008
9,8,7,case_content,business,0.0,0.0
9,9,8,founder,studio,0.0,0
9,9,8,founder,assist,7.895590675415041,0
9,9,8,founder,business,0.0,0
9,9,8,partners,studio,0.0,0
9,9,8,partners,assist,2.7634567363952645,0
9,9,8,partners,business,0.0,0
9,9,8,case_content,studio,0.0,0
9,9,8,case_content,assist,0.6168430215168,0
9,9,8,case_content,business,0.0,0
10,2,1,founder,studio,0.0,0.0
10,2,1,founder,assist,4.328337473903002,1.6716625260969984
10,2,1,founder,business,0.0,0.0
10,2,1,partners,studio,0.0,0.0
10,2,1,partners,assist,1.51491811586605,0.5850818841339492
10,2,1,partners,business,0.0,0.0
10,2,1,case_content,studio,0.0,0.0
10,2,1,case_content,assist,0.33815136514867195,0.130598634851328
10,2,1,case_content,business,0.0,0.0
10,3,2,founder,studio,0.0,0.0
10,3,2,founder,assist,4.689032263394918,1.5509677366050816
10,3,2,founder,business,0.0,0.0
10,3,2,partners,studio,0.0,0.0
10,3,2,partners,assist,1.6411612921882213,0.5428387078117785
10,3,2,partners,business,0.0,0.0
10,3,2,case_content,studio,0.0,0.0
10,3,2,case_content,assist,0.366330645577728,0.121169354422272
10,3,2,case_content,business,0.0,0.0
10,4,3,founder,studio,0.0,0.0
10,4,3,founder,assist,5.079784952011162,1.4098150479888387
10,4,3,founder,business,0.0,0.0
10,4,3,partners,studio,0.0,0.0
10,4,3,partners,assist,1.7779247332039065,0.4934352667960935
10,4,3,partners,business,0.0,0.0
10,4,3,case_content,studio,0.0,0.0
10,4,3,case_content,assist,0.39685819937587197,0.11014180062412798
10,4,3,case_content,business,0.0,0.0
10,5,4,founder,studio,0.0,0.0
10,5,4,founder,assist,5.503100364678758,1.2460836353212417
10,5,4,founder,business,0.0,0.0
10,5,4,partners,studio,0.0,0.0
10,5,4,partners,assist,1.9260851276375655,0.4361292723624346
10,5,4,partners,business,0.0,0.0
10,5,4,case_content,studio,0.0,0.0
10,5,4,case_content,assist,0.429929715990528,0.09735028400947202
10,5,4,case_content,business,0.0,0.0
10,6,5,founder,studio,0.0,0.0
10,6,5,founder,assist,5.961692061735323,1.0574592982646787
10,6,5,founder,business,0.0,0.0
10,6,5,partners,studio,0.0,0.0
10,6,5,partners,assist,2.0865922216073627,0.37011075439263746
10,6,5,partners,business,0.0,0.0
10,6,5,case_content,studio,0.0,0.0
10,6,5,case_content,assist,0.465757192323072,0.082614007676928
10,6,5,case_content,business,0.0,0.0
10,7,6,founder,studio,0.0,0.0
10,7,6,founder,assist,6.458499733546599,0.8414176808534019
10,7,6,founder,business,0.0,0.0
10,7,6,partners,studio,0.0,0.0
10,7,6,partners,assist,2.26047490674131,0.2944961882986906
10,7,6,partners,business,0.0,0.0
10,7,6,case_content,studio,0.0,0.0
10,7,6,case_content,assist,0.5045702916833281,0.06573575631667201
10,7,6,case_content,business,0.0,0.0
10,8,7,founder,studio,0.0,0.0
10,8,7,founder,assist,6.996708044675485,0.5952060663005186
10,8,7,founder,business,0.0,0.0
10,8,7,partners,studio,0.0,0.0
10,8,7,partners,assist,2.448847815636419,0.2083221232051815
10,8,7,partners,business,0.0,0.0
10,8,7,case_content,studio,0.0,0.0
10,8,7,case_content,assist,0.5466178159902721,0.04650047392972802
10,8,7,case_content,business,0.0,0.0
10,9,8,founder,studio,0.0,0.0
10,9,8,founder,assist,7.579767048398439,0.31582362701660166
10,9,8,founder,business,0.0,0.0
10,9,8,partners,studio,0.0,0.0
10,9,8,partners,assist,2.652918466939454,0.11053826945581058
10,9,8,partners,business,0.0,0.0
10,9,8,case_content,studio,0.0,0.0
10,9,8,case_content,assist,0.592169300656128,0.024673720860672002
10,9,8,case_content,business,0.0,0.0
10,10,9,founder,studio,0.0,0
10,10,9,founder,assist,8.211414302431642,0
10,10,9,founder,business,0.0,0
10,10,9,partners,studio,0.0,0
10,10,9,partners,assist,2.8739950058510746,0
10,10,9,partners,business,0.0,0
10,10,9,case_content,studio,0.0,0
10,10,9,case_content,assist,0.641516742377472,0
10,10,9,case_content,business,0.0,0
11,2,1,founder,studio,0.0,0.0
11,2,1,founder,assist,4.155203974946882,1.8447960250531183
11,2,1,founder,business,0.0,0.0
11,2,1,partners,studio,0.0,0.0
11,2,1,partners,assist,1.4543213912314081,0.6456786087685913
11,2,1,partners,business,0.0,0.0
11,2,1,case_content,studio,0.0,0.0
11,2,1,case_content,assist,0.3246253105427251,0.14412468945727488
11,2,1,case_content,business,0.0,0.0
11,3,2,founder,studio,0.0,0.0
11,3,2,founder,assist,4.501470972859122,1.7385290271408782
11,3,2,founder,business,0.0,0.0
11,3,2,partners,studio,0.0,0.0
11,3,2,partners,assist,1.5755148405006925,0.6084851594993073
11,3,2,partners,business,0.0,0.0
11,3,2,case_content,studio,0.0,0.0
11,3,2,case_content,assist,0.35167741975461886,0.13582258024538113
11,3,2,case_content,business,0.0,0.0
11,4,3,founder,studio,0.0,0.0
11,4,3,founder,assist,4.876593553930716,1.6130064460692852
11,4,3,founder,business,0.0,0.0
11,4,3,partners,studio,0.0,0.0
11,4,3,partners,assist,1.7068077438757503,0.5645522561242498
11,4,3,partners,business,0.0,0.0
11,4,3,case_content,studio,0.0,0.0
11,4,3,case_content,assist,0.3809838714008371,0.12601612859916286
11,4,3,case_content,business,0.0,0.0
11,5,4,founder,studio,0.0,0.0
11,5,4,founder,assist,5.282976350091608,1.466207649908392
11,5,4,founder,business,0.0,0.0
11,5,4,partners,studio,0.0,0.0
11,5,4,partners,assist,1.8490417225320628,0.5131726774679373
11,5,4,partners,business,0.0,0.0
11,5,4,case_content,studio,0.0,0.0
11,5,4,case_content,assist,0.4127325273509069,0.11454747264909314
11,5,4,case_content,business,0.0,0.0
11,6,5,founder,studio,0.0,0.0
11,6,5,founder,assist,5.72322437926591,1.2959269807340916
11,6,5,founder,business,0.0,0.0
11,6,5,partners,studio,0.0,0.0
11,6,5,partners,assist,2.003128532743068,0.45357444325693197
11,6,5,partners,business,0.0,0.0
11,6,5,case_content,studio,0.0,0.0
11,6,5,case_content,assist,0.44712690463014915,0.10124429536985088
11,6,5,case_content,business,0.0,0.0
11,7,6,founder,studio,0.0,0.0
11,7,6,founder,assist,6.200159744204735,1.0997576701952658
11,7,6,founder,business,0.0,0.0
11,7,6,partners,studio,0.0,0.0
11,7,6,partners,assist,2.1700559104716577,0.384915184568343
11,7,6,partners,business,0.0,0.0
11,7,6,case_content,studio,0.0,0.0
11,7,6,case_content,assist,0.484387480015995,0.08591856798400514
11,7,6,case_content,business,0.0,0.0
11,8,7,founder,studio,0.0,0.0
11,8,7,founder,assist,6.716839722888465,0.875074388087538
11,8,7,founder,business,0.0,0.0
11,8,7,partners,studio,0.0,0.0
11,8,7,partners,assist,2.350893903010962,0.3062760358306383
11,8,7,partners,business,0.0,0.0
11,8,7,case_content,studio,0.0,0.0
11,8,7,case_content,assist,0.5247531033506613,0.0683651865693389
11,8,7,case_content,business,0.0,0.0
11,9,8,founder,studio,0.0,0.0
11,9,8,founder,assist,7.276576366462502,0.6190143089525393
11,9,8,founder,business,0.0,0.0
11,9,8,partners,studio,0.0,0.0
11,9,8,partners,assist,2.5468017282618756,0.21665500813338873
11,9,8,partners,business,0.0,0.0
11,9,8,case_content,studio,0.0,0.0
11,9,8,case_content,assist,0.5684825286298829,0.04836049288691713
11,9,8,case_content,business,0.0,0.0
11,10,9,founder,studio,0.0,0.0
11,10,9,founder,assist,7.882957730334376,0.3284565720972657
11,10,9,founder,business,0.0,0.0
11,10,9,partners,studio,0.0,0.0
11,10,9,partners,assist,2.7590352056170317,0.11495980023404298
11,10,9,partners,business,0.0,0.0
11,10,9,case_content,studio,0.0,0.0
11,10,9,case_content,assist,0.6158560726823732,0.025660669695098882
11,10,9,case_content,business,0.0,0.0
11,11,10,founder,studio,0.0,0
11,11,10,founder,assist,8.539870874528908,0
11,11,10,founder,business,0.0,0
11,11,10,partners,studio,0.0,0
11,11,10,partners,assist,2.988954806085118,0
11,11,10,partners,business,0.0,0
11,11,10,case_content,studio,0.0,0
11,11,10,case_content,assist,0.667177412072571,0
11,11,10,case_content,business,0.0,0
12,2,1,founder,studio,0.0,0.0
12,2,1,founder,assist,3.988995815949006,2.011004184050994
12,2,1,founder,business,0.0,0.0
12,2,1,partners,studio,0.0,0.0
12,2,1,partners,assist,1.396148535582152,0.7038514644178476
12,2,1,partners,business,0.0,0.0
12,2,1,case_content,studio,0.0,0.0
12,2,1,case_content,assist,0.31164029812101607,0.15710970187898388
12,2,1,case_content,business,0.0,0.0
12,3,2,founder,studio,0.0,0.0
12,3,2,founder,assist,4.321412133944757,1.9185878660552431
12,3,2,founder,business,0.0,0.0
12,3,2,partners,studio,0.0,0.0
12,3,2,partners,assist,1.5124942468806648,0.6715057531193349
12,3,2,partners,business,0.0,0.0
12,3,2,case_content,studio,0.0,0.0
12,3,2,case_content,assist,0.3376103229644341,0.14988967703556588
12,3,2,case_content,business,0.0,0.0
12,4,3,founder,studio,0.0,0.0
12,4,3,founder,assist,4.681529811773488,1.8080701882265138
